"Date","Event","Favourite Wins","Underdog Wins"
"Jan 22 2022","UFC 270 | Links: 
                    UFC 270                   (https://www.betmma.tips/mma_event_betting_history.php?Event=844)",4,5
"Feb 12 2022","UFC 271 | Links: 
                    UFC 271                   (https://www.betmma.tips/mma_event_betting_history.php?Event=856)",11,3
"Feb 26 2022","UFC Fight Night: Green vs. Makhachev | Links: 
                    UFC Fight Night: Green vs. Makhachev                   (https://www.betmma.tips/mma_event_betting_history.php?Event=893)",5,3
"Mar 05 2022","UFC 272 | Links: 
                    UFC 272                   (https://www.betmma.tips/mma_event_betting_history.php?Event=890)",9,4
"Mar 12 2022","UFC Fight Night: Santos vs. Ankalaev | Links: 
                    UFC Fight Night: Santos vs. Ankalaev                   (https://www.betmma.tips/mma_event_betting_history.php?Event=889)",10,4
"Mar 19 2022","UFC Fight Night: Volkov vs. Aspinall | Links: 
                    UFC Fight Night: Volkov vs. Aspinall                   (https://www.betmma.tips/mma_event_betting_history.php?Event=897)",9,3
"Apr 09 2022","UFC 273 | Links: 
                    UFC 273                   (https://www.betmma.tips/mma_event_betting_history.php?Event=894)",9,3
"Apr 16 2022","UFC Fight Night: Luque vs. Muhammad II | Links: 
                    UFC Fight Night: Luque vs. Muhammad II                   (https://www.betmma.tips/mma_event_betting_history.php?Event=926)",8,5
"May 14 2022","UFC Fight Night: Błachowicz vs. Rakić | Links: 
                    UFC Fight Night: Błachowicz vs. Rakić                   (https://www.betmma.tips/mma_event_betting_history.php?Event=951)",6,3
"May 21 2022","UFC Fight Night: Holm vs. Vieira | Links: 
                    UFC Fight Night: Holm vs. Vieira                   (https://www.betmma.tips/mma_event_betting_history.php?Event=952)",5,4
"Jun 11 2022","UFC 275 | Links: 
                    UFC 275                   (https://www.betmma.tips/mma_event_betting_history.php?Event=941)",7,4
"Jun 18 2022","UFC Fight Night: Kattar vs. Emmett | Links: 
                    UFC Fight Night: Kattar vs. Emmett                   (https://www.betmma.tips/mma_event_betting_history.php?Event=962)",8,5
"Jun 25 2022","UFC Fight Night: Tsarukyan vs. Gamrot | Links: 
                    UFC Fight Night: Tsarukyan vs. Gamrot                   (https://www.betmma.tips/mma_event_betting_history.php?Event=984)",7,5
"Jul 02 2022","UFC 276 | Links: 
                    UFC 276                   (https://www.betmma.tips/mma_event_betting_history.php?Event=963)",7,2
"Jul 09 2022","UFC Fight Night: Dos Anjos vs. Fiziev | Links: 
                    UFC Fight Night: Dos Anjos vs. Fiziev                   (https://www.betmma.tips/mma_event_betting_history.php?Event=976)",7,4
"Jul 16 2022","UFC Fight Night: Ortega vs. Rodriguez | Links: 
                    UFC Fight Night: Ortega vs. Rodriguez                   (https://www.betmma.tips/mma_event_betting_history.php?Event=975)",6,6
"Jul 23 2022","UFC Fight Night: Blaydes vs. Aspinall | Links: 
                    UFC Fight Night: Blaydes vs. Aspinall                   (https://www.betmma.tips/mma_event_betting_history.php?Event=964)",11,3
"Jul 30 2022","UFC 277 | Links: 
                    UFC 277                   (https://www.betmma.tips/mma_event_betting_history.php?Event=965)",10,3
"Aug 06 2022","UFC Fight Night: Santos vs. Hill | Links: 
                    UFC Fight Night: Santos vs. Hill                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1012)",8,2
"Aug 20 2022","UFC 278 | Links: 
                    UFC 278                   (https://www.betmma.tips/mma_event_betting_history.php?Event=999)",8,3
"Sep 03 2022","UFC Fight Night: Gane vs. Tuivasa | Links: 
                    UFC Fight Night: Gane vs. Tuivasa                   (https://www.betmma.tips/mma_event_betting_history.php?Event=974)",9,3
"Sep 17 2022","UFC Fight Night: Sandhagen vs. Song | Links: 
                    UFC Fight Night: Sandhagen vs. Song                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1041)",9,3
"Oct 01 2022","UFC Fight Night: Dern vs. Yan | Links: 
                    UFC Fight Night: Dern vs. Yan                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1043)",6,5
